,Sentence,Eno.,Event,Bel(A),Bel(B),CG(A),CG(B)
57,A: %um from &Poland because it was all my support system. Coming here w- the only person that really knew and understood my circumstances was &Tom.  ,58.1,A really missed people from Poland because those people were all A's support system,1,1,1,1
58,None,58.2,A really missed people from Poland,1,1,1,1
59,None,58.3,People from Poland were all A's support system,1,1,1,1
60,None,58.4,The only person that really knew and understood A's circumstances in the US was Tom,1,1,1,1
61,A: And so that was really tough because that was a lot of pressure on both of us ((coming coming)) with him again and all of that.  ,60.1,Tom being the only person that understands A's circumstances was really tough because Tom being the only person that understands A's circumstances was a lot of pressure on both A and Tom,1,1,1,1
62,None,60.2,Tom being the only person that understands A's circumstances was really tough,1,1,1,1
63,None,60.3,Tom being the only person that understands A's circumstances was a lot of pressure on both A and Tom,1,1,1,1
64,A: %uh &Blimpie’s scared me.  ,64.0,Blimpie's scared A while readjusting to Americanisms,1,1,1,1
65,A: &Blimpie’s is the sandwich place (( )) {laugh} ,65.0,Blimpie's is the sandwich place,1,1,1,2
66,B: {laugh} I know. I know. {laugh} {breath} oh that’s pretty funny.  ,66.1,B knows that Blimpie's is the sandwich place,1,1,1,1
67,None,66.2,Blimpie's scarrying A is pretty funny,1,1,1,1
68,A: We went in there and it was so yellow.  ,67.1,A and Tom went to Blimpie's,1,1,1,1
69,None,67.2,Blimpie's was so yellow,1,1,1,1
70,A: It was just so yellow and they wanted to help so bad.  ,68.0,Blimpie's staff wanted to help so bad,1,1,1,1
71,B: I just went back and I decided people are a bit too cheery in the &U &S.  ,74.1,B just went back,1,1,1,1
72,None,74.2,B decided people are a bit too cheery in the US,1,1,1,1
73,None,74.3,People are a bit too cheery in the US,1,1,1,1
74,A: oh yeah. oh yeah. And see that wanting to help you so bad just freaked me out.  ,75.0,Americans wanting to help one so bad just freaked A out,1,1,1,1
75,"B: like, I, I just like ran into stores and ran out because ",78.0,B just like ran into stores and ran out,1,1,1,1
76,B: I’d go on the weekdays when nobody you know because I’m ,80.1,B would go to the stores on the weeksys when nobody is in the stores,1,1,1,1
77,None,80.2,B would go to the stores on the weekdays,1,1,1,1
78,None,80.3,Nobody is in the stores on the weekdays,1,1,1,1
79,B: you know I had time off and %um ,82.0,B had time off,1,1,2,2
80,B: I’d walk in there and like five people would say hello to me. I’d be just like leave me alone [[whispered]] {laugh}.  ,84.1,B would walk into the stores,1,1,1,1
81,None,84.2,Five people would say hello to B,1,1,1,1
82,None,84.3,B would be just like leave B alone,1,1,1,1
83,B: It’s just very hard. I talked to &Kristen though when I was home.  ,87.1,Readjusting to Americanisms is just very hard,1,1,1,1
84,None,87.2,B talked to Kristen though when B was home,1,1,1,1
85,None,87.3,B talked to Kristen,3,1,1,1
86,None,87.4,B was at home,1,1,2,2
87,A: yeah? ,88.0,A asks B if B talked to Kristen,1,1,1,1
88,B: yeah. She seems to be doing well. She’s working ,89.1,Kristen seems to be doing well,1,1,1,1
89,None,89.2,Kristen is working,1,1,1,1
90,B: [channel noise] which is good and she’s got her %um she’s healthy again.  ,90.1,Kristen working is good,1,1,1,1
91,None,90.2,Kristen is healthy again,1,1,1,1
92,A: I’d like to be healthy again.  ,93.1,A would like to be healthy again,1,1,1,1
93,None,93.2,A is not healthy,1,1,2,2
94,B: yeah. I hope ,94.0,B hopes A is healthy again,1,1,1,1
95,A: you know I was going to tell you this thing that I got. &Tom found this for me about this freebie experiment thing where you can do this and you can talk.  ,96.1,A was going to tell B this thing that A got,1,1,1,1
96,None,96.2,A told B this thing that A got,2,2,3,3
97,None,96.3,A got this thing,1,1,1,1
98,None,96.4,Tom found this for A about this freebie experiment thing where one can do this and one can talk,1,1,1,1
99,None,96.5,Tom found this freebie experiment for A,1,1,1,1
100,None,96.6,One can do this freebie experiment,1,1,1,1
101,None,96.7,One can talk,1,1,1,1
102,"A: And it was funny because he handed it to me and I was really confused and I said well, ",100.1,Tom finding this freebie experiment thing was funny,1,1,1,1
103,None,100.2,Tom handed this freebie experiment to A,1,1,1,1
104,None,100.3,A was really confused,1,1,1,1
105,"A: well is this somebody that contacted you on your email or what? He goes no I told you about this last week blah, blah, blah.  ",101.1,A asked Tom if somebody contacted Tom on Tom's email about this freebie experiment thing,1,1,1,1
106,None,101.2,Somebody contacted Tom on Tom's email about this freebie experiment thing,2,4,0,0
107,None,101.3,Nobody contacted Tom on Tom's email about this freebie experiment thing,1,1,1,1
108,None,101.4,Tom told A about this freebie experiment thing,1,1,1,1
109,A: {breath} I’m looking at it {breath} because it had this guy and it  ,102.1,A was looking at the email because the email had this guy,1,1,1,1
110,None,102.2,A was looking at the email,1,1,1,1
111,None,102.3,The email had this guy,1,1,1,1
112,"A: and his name wa-, his name is &Mark &Zalin-, Ya-, no, &Yalinsky. {breath} And it said, and it was ",103.0,The name of the guy in the email was Mark Yalinsky,1,1,1,1
113,A: and it was his email thing and it said U N I <Polish Lodz> &Poland.  ,104.0,"The email from Mark Yalinksky said ""you and I, Lodz, Poland""",1,1,1,1
114,B: ((You told me)).  ,105.0,A told B about the email from Mark Yalinsky,1,1,1,1
115,A: And it was a &Playboy joke on this thing. It was done as an example of what we do. [[last four words spoken with a laugh]] ,107.1,The email from Mark Yalinsky was a Playboy joke,1,1,1,1
116,None,107.2,The playboy joke was done as an example of what A and someone else do,1,1,1,1
117,A: {breath} And it was from <Polish Lodz>. And I’m like did somebody try to get a hold of you and he goes no.  ,109.1,The email from Mark Yalinsky was from Lodz,1,1,1,1
118,None,109.2,A asked Tom if somebody tried to get hold of Tom,1,1,1,1
119,None,109.3,Somebody tried to get hold of Tom,2,2,3,3
120,None,109.4,Nobody tried to get hold of Tom,1,1,1,1
121,"A: I go well there’s this thing. I said look at this and it sa-, and it you know is all in code.  ",110.1,A said that there is this thing,1,1,1,1
122,None,110.2,A told Tom to look at the email from Mark Yalinsky,1,1,1,1
123,None,110.3,Tom looked at the email from Mark Yalinsky,1,1,1,1
124,None,110.4,The email from Mark Yalinsky was all in code,1,1,1,1
125,A: And he goes ooh weird. He goes I didn’t do that. {laugh} ,112.1,Tom said that the email from Mark Yalinsky with all the code was weird,1,1,1,1
126,None,112.2,Tom said that Tom didn't write the email,1,1,1,1
127,None,112.3,Tom didn't write the email,1,1,1,1
128,B: {laugh} That’s really funny.  ,113.0,The email from Mark Yalinsky was really funny,1,1,1,1
129,A: yeah. And now are you not smoking? ,117.1,A asks B if B is now not smoking,1,1,1,1
130,None,117.2,B is now not smoking,4,2,0,0
131,B: No. I am smoking.  ,118.0,B is smoking,1,1,1,1
132,A: yeah. Well I did a few when I’ve been back too.  ,119.1,A did a few cigarettes when B has been back too,1,1,1,1
133,None,119.2,B did a few cigarettes,1,1,1,1
134,None,119.3,B is back,1,1,2,2
135,B: yeah. I’ve been smoking big time. It’s been a rough couple months.  ,120.1,B has been smoking big time,1,1,1,1
136,None,120.2,It's been a rough couple months,1,1,1,1
137,B: Well yeah it’s been [distortion] really [/distortion] busy.  ,122.0,The last couple of months have been really busy,1,1,1,1
138,A: The kid sister thing? ,123.1,A asks B if B was busy with the kid sister thing,1,0,0,0
139,None,123.2,B was busy with the kid sister thing,4,0,0,0
140,A: The kid sister thing? ,125.0,A says The kid sister thing? ,1,1,1,1
141,B: Well no. Not really that but it’s been really busy as far as work is concerned.  ,126.1,B was not busy with the kid sister thing,2,1,3,3
142,None,126.2,B has been really busy with work,1,1,1,1
143,B: You know? Now things are just like kind of mellow and I’m just n- you know wrapping things up so it’s not that bad.  ,128.1,Now things are like kind of mellow,1,1,1,1
144,None,128.2,B is just wrapping things up so B' situation is not that bad,1,1,1,1
145,None,128.3,B is just wrapping things up,1,1,1,1
146,None,128.4,B's situation is not that bad,1,1,1,1
147,B: But it was kind of hellish for a bit.  ,131.0,B's come back was kind of hellish for a bit,1,1,1,1
148,A: yeah. oh I’m sure.  ,132.0,A is sure that B's come back to the US was kind of hellish for a bit,1,1,1,1
149,"B: I still, all I want to do is sleep now. I’ve been trying to nap for the longest time today.  ",133.1,All B wants to do is sleep now,1,1,1,1
150,None,133.2,All B does is sleep now,2,2,3,3
151,None,133.3,B has been trying to nap for the longest time today,1,1,1,1
152,None,133.4,B napped today,2,2,3,3
153,B: Every time I lay down a phone rings and like random people call me.  ,135.1,Every time B lays down a phone rings,1,1,1,1
154,None,135.2,Random people call B,1,1,1,1
155,None,135.3,B cannot sleep,1,1,2,2
156,B: You’re not that random but it’s kind of random receiving a phone call from you. {laugh} ,136.1,A is not that random but it's kind of random receiving a phone call from A,1,1,1,1
157,None,136.2,A is not that random,1,1,1,1
158,None,136.3,It's kind of random receiving a phone call from A,1,1,1,1
159,B: I mean you’re not a random person but  ,138.1,B meant that A is not a random person,1,1,1,1
160,None,138.2,A is not a random person,1,1,1,1
161,"A: Well thank you.  I appreciate being considered non, %er non random.  ",139.1,A thanks A for being called not a random person,1,1,1,1
162,None,139.2,A appreciates being considered non random,1,1,1,1
163,B: No. You’re pretty organized and orderly {laugh}.  ,140.0,A is pretty organized and orderly,1,1,1,1
164,A: Thank you. {laugh} ,141.0,A thanks B for being called pretty organized and orderly,1,1,1,1
165,B: &Jody’s going to be shocked that I heard from you.  ,144.1,Jody's going to be shocked that B heard from A,0,1,0,0
166,None,144.2,B heard from A,0,1,0,0
167,A: She what? ,145.0,A asks B to repeat Jody's going to be shocked that B heard from A,1,1,1,1
168,B: She’s going to be happy [distortion] that I heard [/distortion]  ,146.0,Jody's going to be happy that B heard from A,1,1,1,1
169,B: Did you get her postcard? ,148.1,B asks A if A got Jody's postcard,1,1,1,1
170,None,148.2,A got Jody's postcard,2,4,0,0
171,A: %hm from her? ,150.0,A hasn't heard from Jody,1,1,1,1
172,A: No %huh I haven’t heard from her at all.  ,152.0,A hasn't heard from Jody at all,1,1,2,2
173,B: She sent you a postcard. In fact we both sent you postcards.  ,153.1,Jody sent A a postcard,1,1,1,1
174,None,153.2,In fact Jody and B both sent A postcards,1,1,1,1
175,B: yeah. {breath} You know what? ,156.0,B is about to tell A something,1,1,1,1
176,A: What? ,157.1,A asks B what does B want to tell A,1,1,1,1
177,None,157.2,B wants to tell A something,1,1,2,2
178,B: I just came back from the &U &S and I have some letters for you including that little package. I don’t know what to do with that little package.  ,158.1,B just came back from the US,1,1,1,1
179,None,158.2,B has some letters for A including that little package,1,1,1,1
180,None,158.3,B doesn't know what to do with that little package,1,1,1,1
181,None,158.4,Something has to be done with that little package,1,1,2,2
182,"B: I it, it is henna.  ",160.0,The little package is henna,1,1,1,1
183,"A: Well I think, no you know what I think you should do.  ",163.1,B knows what A thinks B should do,1,1,1,1
184,None,163.2,A thinks B should give the henna package to Magda,1,1,1,1
185,None,163.3,B should give the henna package to Magda,1,2,3,3
186,A: &Dorota please. Really.  ,165.1,A asks Dorota to give the henna package to Magda,1,1,1,1
187,None,165.2,Dorota gives the henna package to Magda,2,2,3,3
188,"A: The package of henna, share it with &Magda.  ",167.1,A asks Dorota to share the package of henna with Magda,1,1,1,1
189,None,167.2,Dorota shares the package of henna with Magda,2,2,3,3
190,B: {laugh} &Magda is gone so maybe I’ll do it in my hair.  ,168.1,Magda is gone so maybe Dorota will do the henna in Dorota's hair,1,1,1,1
191,None,168.2,Magda is gone,1,1,1,1
192,None,168.3,Dorota will do the henna in Dorota's hair,1,1,1,1
193,A: okay. {laugh} It’s a nice brown.  ,169.0,The henna is a nice brown color,1,1,1,1
194,A: yeah. Well a friend of mine from &Florida sent that to me. ,171.0,A friend from Florida send the henna to A,1,1,1,1
195,B: %eh yeah. She’s from &Gainesville (( )) ,172.0,A's friend is from Gainesville,1,1,1,1
196,A: yeah so {breath} I I would like to think that it goes to a good because sending it back to me would probably just be ludicrous so {breath} you know why don’t you just ,178.1,A would like to think that the henna package goes in good hands because sending the henna package back to A would probably just be ludicrous so Dorota should keep the henna package,1,1,1,1
197,None,178.2,A would like to think that the henna pacakge goes in good hands,1,1,1,1
198,None,178.3,The henna pacakge goes in good hands,1,1,2,2
199,None,178.4,Sending the henna package to A would be ludicrous,1,1,1,1
200,None,178.5,Dorota should keep the henna package,1,1,1,1
201,B: [distortion] So I can keep it. [/distortion] ,179.0,Dorota can keep the henna package,1,1,1,1
202,B: I’m opening it up right now as you speak so I can put a ((world peace)) stamp on it.  ,180.1,Dorota is opening up the henna package right now so Dorota can put a world peace stamp on the henna package,1,1,1,1
203,None,180.2,Dorota is opening up the henna package right now,1,1,1,1
204,None,180.3,Dorota can put a world peace stamp on the henna package,1,1,1,1
205,B: You know what? I’ve been saying all right all the time now.  ,185.0,"Dorota has been saying ""all right"" all the time now",1,1,1,1
206,B: I went to this conference in the &U &S and they’re like w- w- where did you get that I’m like ,186.1,Dorota went to this conference in the US,1,1,1,1
207,None,186.2,"People at the conference asked Dorota where did Dorota get that ""all right"" expression from",1,1,1,1
208,None,186.3,"Dorota got ""all right"" expression from somewhere",1,1,2,2
209,B: I’m like %uh that’s a really long story. [[laughing during last word]] ,189.0,"The origin of the ""all right"" expression is a really long story",1,1,1,1
210,B: See there was this volunteer and she used to know this old man because she used to work (( )) [distortion] and this man would just sit there and say all right.  {laugh} ,191.1,There was this volunteer,1,1,1,1
211,None,191.2,This volunteer used to know this old man because this voluneer used to work (somewhere),1,1,1,1
212,None,191.3,This volunteer used to know this old man,1,1,1,1
213,None,191.4,This volunteer used to work (somewhere),1,1,1,1
214,None,191.5,This old man would sit there,1,1,1,1
215,None,191.6,"This old man would say ""all right""",1,1,1,1
216,A: I have another one though too and &Tom was really getting sick of it. What was it? ,193.1,A has another expression,1,1,1,1
217,None,193.2,Tom was really getting sick of the new expression,1,1,1,1
218,None,193.3,A cannot remember the new expression,1,1,1,1
219,"A: I’ll have to think of it. It’s an-, it’s another one of those %uh all right ",195.0,A has to think of the new expression,1,1,1,1
220,"A: because he g-, he says what does that mean when I say it now. It’s like ",197.1,Tom asked A what the new expression meant when A said it then,1,1,1,1
221,None,197.2,The new expression meant something when A said it then,1,1,2,2
222,None,197.3,A said the new expression then,1,1,1,1
223,"A: %uh I, I need to know more information.  ",198.1,A needs to know more information,1,1,1,1
224,None,198.2,A knows more information,2,2,3,3
225,A: Just hearing all right isn’t enough okay?  ,200.0,"Just hearing ""all right"" isn't enough",1,1,1,1
226,"B: because I drove across the country three times. I’ve been there wait, yes three times I think.  ",3.1,B has been in the national park like five or six times because B drove across the country three times,1,1,1,1
227,None,3.2,B has been in the national park like five or six times,1,3,1,3
228,None,3.3,B drove acress the country three times,1,1,1,1
229,None,3.4,B thinks that B has been in the national park three times,1,1,1,1
230,None,3.5,B has been in the national park three times,3,3,1,1
231,A: Well this is our second time.  ,4.0,This is A's and Kevin's second time in the national park.,1,1,1,1
232,A: The first time we had been it was like twelve years ago &Kevin and I went on like a six week camping trip you know we hit -- ,6.1,The first time Kevin and A had been in the national park was like twelve year ago,1,1,1,1
233,None,6.2,Kevin and A went on like six week campin trip,1,1,1,1
234,B: %uh that must have been fun.  ,7.0,The camping trip must have been fun,1,1,1,1
235,"A: -- You know &Washington, we hit you know from &Idaho to &Washington we hit all kinds of national parks and stu- [distortion].  ",8.0,A and Kevin hit all kinds of national parks from Idaho to Washington,1,1,1,1
236,B: oh yeah it’s so beautiful %huh.  ,10.0,National parks are so beautiful.,1,1,1,1
237,A: You know we spent a l- you know couple days in &Yellowstone and then ,12.0,Kevin and A spent a couple days in Yellowstone,1,1,1,1
238,A: you know a very little time in &Grand &Tetons but we spent a lot of time in the national forests right around there because we (( )) [distorted] you know we were really camping and really serious-- ,13.1,Kevin and A spent a little time in Grand Tetons,1,1,1,1
239,None,13.2,Kevin and A spent a lot of time in the forests right around Grand Tetons because Kevin and A were really camping and really serious,1,1,1,1
240,None,13.3,Kevin and A spent a lot of time in the forests right around Grand Tetons,1,1,1,1
241,None,13.4,Kevin and A were really camping and really serious,1,1,1,1
242,"A: And like we went into &Jackson, the town and we were like -- ",16.0,"A and Kevin went into Jackson, the town",1,1,1,1
243,A: -- %ah [[drawn out and in fright]] let me {laugh} out of here. You know it was like a traffic jam and all these stores and we sort of didn’t know what was coming. We were like oh my god traffic jams ,17.1,A and Kevin wanted to get out of Jackson,1,1,1,1
244,None,17.2,A and Kevin got out of Jackson,2,2,3,3
245,None,17.3,There was a traffic jam and stores in Jackson,1,1,1,1
246,None,17.4,A and Kevin didn't know what was coming,1,1,1,1
247,None,17.5,Something was coming,1,1,2,2
248,None,17.6,A and Kevin complained about traffic jams,1,1,1,1
249,A: What kind of tourist hell is this? Get us out of here [[says laughing]].  ,20.0,Jackson is a kind of a tourist hell,1,1,2,2
250,A: of course then we were like you know let’s stay here a couple days. [distortion]  ,22.0,Kevin and A decided to stay in Jackson a couple of days,1,1,1,1
251,B: {inhale} And now you guys have a five year old and ,23.0,Kevind and A have a five year old,1,1,2,2
252,A: This is kind of cute. oh look there’s the &Benneton outlet.  ,25.1,Jackson is kind of cute.,1,1,1,1
253,None,25.2,There's the Bennton outlet in Jackson,1,1,1,1
254,"B: oh you guys have really turned into yuppies, %huh? {laugh} ",27.0,Kevin and A have really turned into yuppies,1,1,2,2
255,A: Scary.  ,28.0,Kevin and A have really turned into yuppies is scary,1,1,1,1
256,B: {laugh} {inhale} What we shouldn’t have a house in the suburbs.  ,29.1,B and B's partner shouldn't have a house in the suburbs,1,1,1,1
257,None,29.2,B and B's partner have a house in the suburbs,2,2,3,3
258,"A: Well if I’m unemployed, if I’m unemployed I can’t be a {laugh} yuppie can I? ",30.1,A asks B if A can't be a yuppie if A is unemployed,1,1,1,1
259,None,30.2,A can't be a yuppie if A is unemployed,3,2,3,3
260,None,30.3,A can't be a yuppie,3,2,3,3
261,None,30.4,A is unemployed,1,1,2,2
262,A: {inhale} Don’t I need to be professional? ,32.1,A asks if A needs to be a professional to be a yuppie,1,1,1,1
263,None,32.2,A needs to be a professional to be a yuppie,3,4,0,0
264,None,32.3,A is a yuppie,2,1,0,0
265,B: %um. yeah I guess.  ,33.0,B says %um. yeah I guess.  ,0,3,1,1
266,B: Well &Norm and I are worse because we live in the suburbs.  ,34.1,Norm and B are worse because Norm and B live in the suburbs,1,1,1,1
267,None,34.2,Norm and B are worse,1,1,1,1
268,None,34.3,Norm and B live in the suburbs,1,1,1,1
269,A: Well really silly we’ll save that for our self respects. So are you coming or not? Are you coming or not? Are you coming or not? [[drawn-out whining]] ,36.1,Kevin and A will save A's impossibility of being a yuppie for Kevin's and A's self respect,1,1,1,1
270,None,36.2,A asks B if B is coming to visit A and Kevin or not,1,1,1,1
271,None,36.3,B is coming to visit A and Kevin,3,3,1,1
272,None,36.4,B is not coming to visit A and Kevin,3,3,1,1
273,B: I don’t know. It’s up to my husband. Hopefully he’ll finish soon and %uh -- ,37.1,B doesn't know if B is coming to visit A and Kevin,1,1,1,1
274,None,37.2,B's coming is up to Norm,1,1,1,1
275,None,37.3,Norm will hopefully finish soon,2,1,3,3
276,A: I thought you said he was finished.  ,39.1,A thought B said Norm was finished,1,1,1,1
277,None,39.2,B said Norm was finished,3,1,0,0
278,None,39.3,Norm was finished,3,1,0,0
279,B: yeah he is finished.  ,41.0,B says yeah he is finished.  ,1,0,1,1
280,A: I thought you said he did send it today.  ,42.1,A thought B said Norm did send Norm's thesis today,1,1,1,1
281,None,42.2,B said Norm did send Norm's thesis today,3,1,0,0
282,None,42.3,Norm did send Norm's thesis today,3,1,0,0
283,B: He is finished. He just has to defend.  ,43.1,Norm is finished with Norm's thesis,1,1,2,2
284,None,43.2,Norm just has to defend Norm's thesis,1,1,1,1
285,B: So I don’t know. We’ll see what happens. I’ll talk to him today. He has a job so.  If not when are you guys moving? ,44.1,B doesn't know if B is coming to visit A and Kevin because Norm still has to defend Norm's thesis,1,1,1,1
286,None,44.2,B and Norm will see what happens,1,1,1,1
287,None,44.3,B will talk to Norm today,1,1,1,1
288,None,44.4,Norm has a job,1,1,2,2
289,None,44.5,B asks A when A and Kevin are moving,1,1,1,1
290,None,44.6,A and Kevin are moving,1,1,2,2
291,A: We’re not moving for a year.  ,45.0,Kevin and A are not moving for a year,1,1,1,1
292,A: probably June.  ,51.0,Kevin and A won't move till probably June,1,1,1,1
293,B: which I really want to come for that but you know I have ,56.0,B really wants to come to Norm's defense,1,1,1,1
294,B: I might not be able to for other reasons {inhale}.  ,57.0,B might not be able to come for Norm's defense for other reasons,1,1,1,1
295,B: But if I can’t come then then I’m going to stop in January. Well I’ll probably stop in January anyhow.  ,59.1,"If B can't come then, B is going to stop in January",1,1,1,1
296,None,59.2,B can't come then,3,3,1,1
297,None,59.3,B is going to stop in January,3,3,1,1
298,None,59.4,B will probably stop in January anyhow,1,1,1,1
299,A: Excellent ,60.0,A says Excellent ,1,1,0,0
300,B: -- the it’ll come out to see the relatives.  ,63.0,B is going to see relatives with B's baby,1,1,1,1
301,A: Show off <French ((le bebe))>.  ,64.0,B is going to show off B's baby,1,1,1,1
302,"B: Do you think ei- I mean eight weeks is not really well it’ll, it’ll be older than eight weeks it’ll be like ten weeks by then. That’s not too early to travel is it? ",67.1,B's baby will be older than eight weeks by the time B and B's baby visit the relatives,1,1,1,1
303,None,67.2,B's baby will be like ten weeks by the time B and B's baby visit the relatives,1,1,1,1
304,None,67.3,B asks if 10 month old baby is not too young to travel with,1,1,1,1
305,None,67.4,10 month old baby is not too young to travel with,3,1,0,0
306,B: -- you know after that.  ,71.1,B thought it would be like much easier to travel if B and Kevin visited relatives when B's baby was ten weeks than when B's baby is older,1,1,1,1
307,None,71.2,It would be like much easier to travel if B and Kevin visited relatives when B's baby was ten weeks than when B's baby is older,1,1,1,1
308,None,71.3,It would be like much easier to travel to visit the relatives when B's baby was 10 weeks then when B's baby is older,1,1,1,1
309,None,71.4,B's baby was 10 weeks,2,2,3,3
310,A: when they’re new infants it’s like bring along a blanket so you can nurse them. And like you could do anything. You could probably go like do skydiving or something.  ,72.1,When babies are infants travelling is just about bringing along a blanket so one can nurse the babies,1,1,1,1
311,None,72.2,Babies are infants,2,2,3,3
312,None,72.3,Travelling is just about bringing along a blanket so one can nurse the babies,2,2,3,3
313,None,72.4,One can nurse the babies,1,1,1,1
314,None,72.5,One could do anything with a baby younger than ten months,2,2,3,3
315,None,72.6,One couldn't do everything with a baby younger than ten months,1,1,1,1
316,None,72.7,One could probably go like skydiving or something with a baby younger than 10 months,2,2,3,3
317,None,72.8,One could not probably go like skydiving or something with a baby younger than 10 months,1,1,1,1
318,A: And if you were nursing the baby while you were skydiving the baby would be like okay.  ,74.1,"If one were nursing the baby while one was skydiving, the baby would go along with the skydiving",2,2,3,3
319,None,74.2,One was nursing the baby while skydiving,2,2,3,3
320,None,74.3,The baby would go along with the skydiving,2,2,3,3
321,A: Alright. As long as we’re nursing while we’re doing this that’s okay.  ,76.1,"As long as mothers are nursing while skydiving, skydiving with babies is okay",2,2,3,3
